Abdominal aortic aneurysm,"Treatment for an abdominal aortic aneurysm (AAA) depends on several factors, including the aneurysm's size, your age and general health.

In general, if you have a large aneurysm (5.5cm or larger) you will be advised to have surgery, either to strengthen the swollen section of the aorta or to replace it with a piece of synthetic tubing.
ingrown toenail,surgery may be recommended if your toenail doesn't  improve depending on severity of your symptoms this may involve removing part or all of your toe nail,pain if pressure is placed on toe,inflammation of skin at ehe end of toe,,an overgrowth of skin aroun affected toe,,,,,bleeding,,whie or yellow pus,,,,,,,,
inherited heart conditions,different conditions require different treatments or interventions,palpitations,,,,,,,,,,,,,,,,,,
insomnia,"treatment of insomnia consists of improving sleep habits,behaviour therapy and identifying and treating underlying causes sleeping pills may be used, but should be monitored for side effects",daytime sleepiness or sleeping difficulty,lack of concentration or slowness in activity,,depression ,,head ache,,,,,,,,,,,,,
iron deficiency anaemia,treatments include iron supplements and a focus on any underlyingcauses,dizziness,brittle nails,hair loss,irritability,,lethargy,head ache,,,,,,,,,,,,
irritable hip,pain killers are usually recommended,hip pain,limping,,,,,,,,,,,,,,,,,
itching,some medication is required,allergies,,,,,,,,,,,,,,,,,,
itchy bottom,some medication is required if itching is more,itching,,,,,,,,,,,,,,,,,,
kaposi's sarcoma,"treatment may include radiation or chemotherapy.rarely, surgery may be required",rashes on skin,ulcers,cough,fever,,,,,,,,,,,,,,,
kidney cancer,treatment for kidney cancer depends on size of cancer main treatments are surgery,blood in urine,low back on one side,fatigue,loss of apetite,,,,,,,,,,,,,,,
kidney infection,treatment includes antibioticsand often require hospitalisation,pain in the flank,back pain,pelvis pain,pain occur during urination,,,fever,vomiting,,,,,,,,,,,
kidney stones,treatment includes painrelievers and drinking lots of water to help pass the stone.medical procedures may be required to break up larger stones,back pain,sudden pain in abdomen,pain occur during urination,,,,,,,,,,,,,,,,
labryrinthitis,labryinthitis usually goes away on its own .medication can help manage symptoms.vestibular rehabilitation therapy may help in ome cases,vomiting,dizziness,hearing loss,,,,,,,,,,,,,,,,
lactose intolerance,"treatment focuses on avoidance of diary products,use of lactose -free products or the use of lactase supplements",bdomen pain,bloating,malise,,,,,,,,,,,,,,,,
langerhans cell histiocytosis,single-system LCH may disappear on it's own without any treatment.in some cases surgery may be required,loose teeth,ear infection,skin rash,"pain ,lump in bone",,,,,,,,,,,,,,,
laryngeal cancer,"removal of lymph nodes in throat,usually followed by radiation therapy.radiation therapy followed by surgery if cancer comes back in some area",a change in your voice,pain in swallowing,a lump or swellin in your neck,,,,,,,,,,,,,,,,
laryngitis,"acute laryngitis usually resolves on it's own.with chronic laryngitis,treatment is aimed at the underlying condition, such as heart burn or smoking",cough can be chronic or dry,throat dryness,fever,congestion or runny nose,,,,,,,,,,,,,,,
leg cramps,message can relieve cramping pain.stretches and hydration during exercise or work can prevent the disease,pain area in muscles,muscle cramping,,,,,,,,,,,,,,,,,
lichen planus,"lichen planus usually goes away on it's own.if symptoms are bother some,topical creams and oral antihistamines may help",darkening of skin,loss of colour,small bump,hair loss,ulcers,itching,,,,,,,,,,,,,
liver cancer,"treatments vary but may include removal of part of the liver,transplant ,chemotherapy and in some cases , radiation",abdomen pain,bloating,vomiting,itching,weight loss,,yellow skin and eyes,,,,,,,,,,,,
liver disease,treatment depends on type of liver disease and can include taking medication and avoiding alcohol.a transplant may be required in advanced cases,yellow eyes,nausea,swelling of legs,abdominal pain,,,,,,,,,,,,,,,
liver tumours,"treatment vary but may include removal of part of the liver,transplant,chemotherapy and in some cases ,radiation",abdomen pain,bloating,cancer-related fatigue,loss of apetite,,itching,yellow skin ,,weight loss,,yelloew eyes,,,,,,,,
loss of libido,treatment include some medications,"stress,anxiety",exhaustion,depression,,,,,,,,,,,,,,,,
lung cancer,"treatment vary but may include surgery,chemotherapy,radiation therapy,targeted drug therapy and immuno therapy",chest pain,chronic cough,fatigue,loss off apetite,,swollen lymph nodes,,,,,,,,,,,,,
lupus,"while  there is no cure for lupus , current treatments focus on improving quality of life through controlling symptoms and minimis9ing flare-ups .this begins ewith lifestyle modifications,include sun protection and diet",muscle pain,pain can occur while breathing,chest pain,anaemia,,fatigue,mouth ulcers,,red rashes,,hair loss,anxiety,blood in urine,,,,,,
lyme disease,most people with lyme disease recover completely with appropriate antibiotic treatment.for those who develop syndroes after their infection is treated. Pain medication may provide symptomatic relief,joint pain,fever,swelling,,,,,,,,,,,,,,,,
lymphoedema,"exercise,wrapping,massage and compression can help",leg pain,dimpled skin like an orange peel or rashes,,swelling in extremities,,,frequent skin infections,,,,,,,,,,,,
malaria,"people travelling to areas where malaria is common typically take protective drugs before,during and after their trip treatment includes antimalarial drugs",abdomen pain,chills,fatigue,diarrhoea,,fast heart rate,,head ache,,,,,,,,,,,
malignant brain tumour,"treatment includes surgery,radiation and chemotherapy",severe head ache,balance disorder,difficulty walking,inability to speak,,,,,,,,,,,,,,,
mal nutrition,treatment must address any underlying conditions and replace missing nutrients,failure to thrive,dizziness,muscle weakness ,weight loss,,,,,,,,,,,,,,,
measels,"there 's no treatment to get rid of an established measels infection,but over-the-counter fever reduces or vitaminA may help with symptoms",muscle pain,fever,fatigue,dry cough,,diarrhoea,,head ache,,sorethroat,,,,,,,,,
meningitis,"depending on cause ,meningitis may get better on it's own or it can be self threatening requiring urgent antibiotic treatment",back pain,fever,chills,vomiting,red rashes,,irritability,,stiff back,,,,,,,,,,
menopause,meno pause is a natural process with treatments that ficus on symptomatic reliefmedications can reduce the severity and frequency of hot flushes,pain can occur during sexual intercourse,night sweat,early awakeningdryness or loss of scalp hair,,,,,,,,,,,,,,,,
mesothelioma,"treatment may include surgery,radiation and chemo therapy.supportive treatments can relieve symptoms",chest pain,fatigue,bloating,coughing,,shortness of breath,,,,,,,,,,,,,
middle ear function,most ear infection go away on their own.some require antibiotics,ear pain,fever,inflammation,crying,head ache,,nausea,,,,,,,,,,,,
migraine,preventive and pain relieving medication can help manage migrane headaches,"pain in eyes,face and neck",head ache,dizziness,nausea,distorted vision,,nasal congestion,,,,,,,,,,,,
miscarriage,"unfortunately,the miscarrige proces can't be reversed once it has started.however,medication or procedures such as dilation andcurettage can prevent types of complications.councelling may be required",abdomen pain,vaginal bleeding,nausea (feeling sick) or vomiting,,cramping,,fatigue,,,,,,,,,,,,
motor neurone disease,there is currently  no cure for this disease,difficulty in holding objects,weakness at shoulder,dragging of the leg,,,,,,,,,,,,,,,,
mouth cancer,treatment includes surgery and radiation.,ear pain,mouth pain,pain occur while swallowing,,ulcers,badbreath,,cough,,,,,,,,,,,
mouth ulcer,"most canker sores clear on their own in one to two weeks.treatment ,if required ,include mouth rinses ,pastes and medcations",mouth pain,,,,,,,,,,,,,,,,,,
multipe myeloma,"treatment include medication,chemotherapy,cortico steroids,radiaion and stem cell transplant",back pain,anaemia,constipation,hyper calcemia,,,,,,,,,,,,,,,
multiple sclerosis,physio therapy and medication that suppresses the immune system can help with symptoms and slow down progression,back pain,eye pain,muscular scramping,fatigue,sexual dysfunction,,,anxiety,slurred speech,,,,,,,,,,
mumps,treatment focuses on symptom relief.recovery takes about 2 weeks disease can be prevented by MMR vaccine,abdomen or muscular pain,difficulty swallowing,chills,fatigue,fever,loss of apetite,,,,,,,,,,,,,
meinere's disease,treatment includes anti-nausea medications,dizziness,feeling of fullness in ear,hearing loss,imbalance,,motion sickness,,,nausea,,,,,,,,,,
nasal and sinus cancer,high radiaton therapy andmedication may be required,nasal congestion,stuffiness,pain above or below the eyes,,blockage of one side of nose,,,post-nasal drip,,nose bleeds,,pus draining from nose,,,,,,,
nasopharyngeal cancer,chemotherapy and radiation therapy may be required,blood in your saliva,lump in your neck,bloody discharge from your nose,,nasal congestion,,hearing loss,,frequent ear infections,,,head ache,,,,,,,
neuroblastoma,"it includes surgery,chemotherapy ,radiation therapy and stem cell transplantation",abdomen pain,bulging of eye,fatigue,fever,abdominal distension,,,,,,,,,,,,,,
neuro endocrine tumours,"treatment includes surger , radiation and chemotherapy",low blood sugar,,,,,,,,,,,,,,,,,,
new or worsening back pain,some medication may be required,back pain,,,,,,,,,,,,,,,,,,
non-alcoholic fatty liver disease,"no standard treatment exists.instead ,doctors will underlying,such as obesity",fatigue,,,,,,,,,,,,,,,,,,
non-hodgkin lymphoma,treatment may include chemo therapy and immuno therapy,abdomen pain,fatigue,anaemia,loss of apetite,,swollen lymph nodes,,,night sweats,,,,,,,,,,
noro virus,ther is no specific treatment,nausea,vomiting,abdominal pain,watery diarrhoea,,malaise,low-grade fever,,muscle pain,,,,,,,,,,
nosebleed,some medication is required,bleeding in nose,,,,,,,,,,,,,,,,,,
obesity,the main stay of treatment  is ifestyle changes such as diet and exercise,stomach pain,abdomen pain,,,,,,,,,,,,,,,,,
obsessive compulsive disorder,"treatment includes talk therapy ,medication or both",compulsive behaviour,depression,anxiety ,food aversion,,night mares,,,,,,,,,,,,,
obstructive sleep apnoea,treatment may include medications and if it is severe surgery may be needed,loud snoaring,noisy and laboured breath,repeated short periods,,,,,,,,,,,,,,,,
oral thrush,anti fungal medication may help,bad breath,pain  can occur while swallowing,difficulty in swallowing,,,,,,,,,,,,,,,,
osteoarthritis,"medication ,physio therapy and surgery may help",hands pain,"hip,knee pain",pain can be severe at joints,,swelling,limping,,,,,,,,,,,,,
osteoporosis,treatment includes medication and healthy diet,bone fracture,loss of weight,,,,,,,,,,,,,,,,,
osteosarcoma,"treatment involves surgery,radiation and chemotherapy",bone pain,swelling,limping,,,,,,,,,,,,,,,,
otitis externa,a person may be prescribed with ear drops and advised to keep ears dry,ear pain,earing loss,,,,,,,,,,,,,,,,,
ovarian cancer,surgery and chemotherapy may be required,pelvis pain,bloating,loss of apetite,weight loss,,lump in abdomen,,,,,,,,,,,,,
ovarian cyst,manycysts go away on their ownif not treatments are contraceptic pills or surgery,abnormal  mensturation,Pain during sexual intercourse,back pain,cramping,,,,,,,,,,,,,,,
overactive thyroid,"treatment includes radioactive iodine,medication and surgery",escess sweating,hyperactivity,nervousness,fast heartbeat,,difficulty falling asleep or insomnia,,,,irregular mensturation,,,puffy eyes,,weight loss,,diarrhoea,,weakness
parget's disease of the nipple,radiotherapy is recommended after the biopsy used during diagnosis,scaly skin on your nipple, bloody nipple discharge,itchness,redness,burning sensation,,,,,,,,,,,,,,
pancreatic cancer,"traeatment may include surgically removing pancreas ,radiotherapy and chemotherapy",abdomen pain,nausea,loss of apetite,dark urine,,yellow skin,,,,,,,,,,,,,
panic disorder,medication can be prefered,racing heart beat,shortness of breath,nausea (feeling sick) or vomiting,,sweating,shaking,,,,,,,,,,,,,
pakinson's disease,medication can help to control the symptoms,stiff muscles,difficulty in standing,daytime sleepiness,fatigue,amnesia,,,,,,,,,,,,,,
pelvic organ prolapse,kegel exercises may be recommended.symptom reduced medication may be required,a feeling of pressure in pelvis area,backache,painful intercourse,urinary problems,,,,,,,,,,,,,,,
penile cancer,surgery is the most common treatment,skin ulcers,swollen lymph nodes,,,,,,,,,,,,,,,,,
peripheral neuropathy,treatment include anti depressants such as amitriptyline.pain medication such as oxycodone anti-seizure medication and pain releiving creams,back pain,pain can occur at night,muscular cramping,poor balance,,slow reflexes,,,,,,,,,,,,,
personality disorder,psycho therapy is most efective treatment,fear,unstable relationships,self-harm,explosive hanger,,,,,,,,,,,,,,,
pleurisy,"treatment include anti-inflammatories,pain releivers and rest",pain area in side part of body,pain can occur in chest while breathing,,fast breathing,,dry cough,,fever,,,,,,,,,,,
pneumonia,antibiotics are the treatment,pain can be sharp in the chest,fever,chills,fast breathing,,,,,,,,,,,,,,,
polymylagia rheumatica,treatment is usually a low dose of an oral corticosteroid suh as prednisone.although treatment  often lasts 2 to 3 years.most people start to feel better within a day or two,pain in shoulder area,tenderness,fatigue,,,,,,,,,,,,,,,,
post-traumatic stress disorder,treatment includespsycho therapy and some medications ,irritability,fear,severe anxiety,night mares,,loss of intrest,,,,,,,,,,,,,
postnatal depression,treatment includes councelling antidepressants or hormone therapy,anger,crying,weight gain or weight loss,lack of concentration,,,fatigue,depression,,hopelessness,,,,,,,,,
pregnancy and baby,medication is required ,mood changes,head aches,increase urination,head aches,,,breast tenderness,,fatigue,nausea,,,,,,,,,
pressure ulcers,oral antibiotics may be required,itchy,painful opensore or a blister,severe damage to skin and infection,,,,,,,,,,,,,,,,
psoriasis,treatment aims to remove scales and stop skin cells from growing quickly.topical ointments and light therapy and medication can occur relief,pain area in joints,skin rashes,dryness,depression,,joint stiffness,,,,,,,,,,,,,
paoriatic arthritis,treatment may include medication to reduce inflammation .steroid injections and joint replacement surgery,joint pain,stiffness or swelling,skin rash,itching,small dents in nails,,,,,,,,,,,,,,
psychosis,treatment may include medication and talk therapy,disorganised behaviour,aggression,agitation,hostility,hyperactivity,,thought disorder,,confusion,,anger,anxiety,excitement,,,,,,
rare tumours,"rare cancers are treated with the same treatments used for other childhood cancers .this includes surgery ,radiation therapy and chemotherapy",we have many symptoms,,,,,,,,,,,,,,,,,,
raynaud's phenomenon,"treatment beyond elf care,such as dressing warmer ,usually isnt required",sensitivity to cold,lack of blood supply,red fingers or toes,throbbing pain in fingers or toes,,,,,,,,,,,,,,,
reactive arthritis,if required treatment includes anti-inflammatory medication or steroids ,joint pains,pain occur during urination,swelling joints,eye redness,,skin rash,,,,,,,,,,,,,
restless legs syndromne,"getting up and moving around helps the unpleasent feeling temperarily go away.self-care steps,lifestyle changes or medication may help",leg pain,difficulty falling asleep,fatigue,uncomfortable burning,,,,,,,,,,,,,,,
retinoblastoma,"treatment include chemotherapy,radiation and laser therapy",white pupil,rapid involuntary treatment,lazy eye,blurred vision,,,,,,,,,,,,,,,
rhabdomyosarcoma,"treatment includes  surgery ,chemotherpy  and radiation therapy",bleeding from nose,bleeding from throat,tingling,numbness,,pain,,,,,,,,,,,,,
rheumatoid arthritis,while there is no cure for it .physiotherapy and medication can help slow down the disease's progression,joint pains,stiffness or swelling,fatigue,anaemia,bump on finger,,dry mouth,,flare,,,,,,,,,,
ring worm and other fungal infections,anti fungal medication is required,darkening of skin,red rashes,hair loss,itchy scalp,,,,,,,,,,,,,,,
rosacea,treatment such as antibiotics can control and reduce symptoms,skin dryness,oily skin,eye dryness,itching,red face,,,,,,,,,,,,,,
scabies,scabies can be treated by killing the mites and their eggs with medication that's applied from the neck down and left on for eight hoursthe mites can alo be killed during oral medication,skin bumps,itching,,,,,,,,,,,,,,,,,
scarlet fever,it is treated with antibiotics,pain can occur while swallowing,peeling of skin,red rashes on skin,fever,flushing,sore throat,,,,,,,,,,,,,
schizophrenia,"treatement is usually  lifelong and often involves a combination of medications,phsycotherapy and coordinated speciality care services",social isolation,disorganised behaviour,agitation,compulsive behaviour,,,thought disorder,,anger,anxiety,hallucination,,fatigue,,,,,,
scoliosis,often no treatment is necessary sometimes a brace or surgery is required,back pain,leaning to one side,physical deformity ,,,,,,,,,,,,,,,,
sceptic shock,"emergency treatment may require supplemental oxygen ,intravenous fluids,antibiotics and other medication",low bp,pale and cool arms,difficulty breathing,mental confusion,,,,,,,,,,,,,,,
sexually transmitted infections,treatment varies and may include medication,many symptoms are there based on infection,,,,,,,,,,,,,,,,,,
shingles,treatment may include pain relief and antiviral medication such as aciclovir.a chicken pox vaccine in childhood and shingles vaccine as an adult can minimise thevrisk of developing shingles,skin pain,scab,ulcers,over sensitivity,,painful red blister rash in linear distribution,,,,,,,,,,,,,
shortness of breath,some home remedies and medication may help to reduce this,difficulty in breathing,,,,,,,,,,,,,,,,,,
sickle cell disease,"treatment include medication ,blood transfusions and rarely a bone marrow transplant",joint pain,a sudden pain in chest,dizziness,fatigue,abnormal break down of red blood cells,,,,,,,,,,,,,,
sinusitis,"acute sinsuities usually don’t require any treatment beyond symptomatic relief with pain medication,nasal decongestants and nasal saline rinses .chronic sinusitis may require antibiotics",face pain,nasal congestion,fever,fatigue,tenderness,,swelling,headache,,sinus pressure,,,,,,,,,
sjogren's syndrome,"treatment includes eye drops ,medication and eye surgery",joint pain,abnormality taste,denral cavities,ulcers,dry cough,,dry eyes,dry skin,fatigue,,,,,,,,,,
skin cancer,"treatment may include surgery ,radiation and chemotherapy",pain at some parts of skin,skin rashes,redness  on skin,,,,,,,,,,,,,,,,
slapped cheek syndrome,pain relievers may help with symptoms,fever,fatigue,rash on the face,ciugh,itching,nausea,runny nose,,sorethroat,,,,,,,,,,
sioft tissue saercomassore throat,if required surgery is the treatment,throat pain,painless lump,weight loss,difficulty in swallowing,,,,,,,,,,,,,,,
spleen problems,speelen will be removed surgically,anaemia,ftigue,frequent infections,easy bleeding,,,,,,,,,,,,,,,
stomach cancer,"treatment includes surgery ,medication ,chemotherapy and radiation therapy",dark stool from digested blood,indigestion,nausea (feeling sick) or vomiting,,cancer related fatigue,,,loss of apetite,,,,,,,,,,,
stomach ulcer,treatment include medication to decrease stomach acid  production,chest pain,heart burn,belching,abdominal discmfort,,,fatigue,loss of apetite,,,,,,,,,,,
stroke,early treatment with medication such as TPA can minimise brain damage,difficulty walking,paralysis with muscles,balance disorder,blurred vision,,difficulty speaking,,muscle weakness,,numbness,,,,,,,,,
sudden infant death syndrome,early and regular parent care can help reduce the risk of SIDS,there are no symptoms that are known tobe specific to SIDS,,,,,,,,,,,,,,,,,,
sunburn,treatment includes pain releivers and creams to releive itching,skin flakiness,peeling of skin,rashes on skin,itching,blitering,swelling,,,,,,,,,,,,,
swollen glands,pain reliever can help to reduce the symptoms,fever,night sweats,weight loss,sorethroat,,runny nose,,,,,,,,,,,,,
testicular cancer,lower back pain,cancer-related fatigue,swelling of scrotum,swollen lymph nodes,weight loss,,,,,,,,,,,,,,,
testicular lumps and swellings,it doesn't require treatment unless it causes pain if it causes pain then it may need surgery,abdominal pressure,abdominal pain or cramping,swelling,tenderness,,,,,,,,,,,,,,,
thread worms,medication is required to control symptoms,loss of appetite,weight loss,bed wetting,skin infection,,insomnia,,,,,,,,,,,,,
thrush in men,antifungul treatment is needed to get rid of it,"irritation ,burning and redness around head of the penis and under the foreskin",,,white discharge,,difficulty pulling back the fore skin,,,,,,,,,,,,,
thyroid cancer,"treatments which are usually successful ,include surgery,hormone therapy ,radio active iodine radiation and chemotherapy",some peoplehave no symptoms but some other observe lump in neck,,,,,,,,,,,,,,,,,,
tinnitus,drugs cant cure it but in some cases it can help to reduce symptoms,hearing sound in ear,dizziness,hear loss,,,,,,,,,,,,,,,,
tonsillitis,treatment may range from home care remedies to surgical removal,ear pain,pain occur while swallowing,runny nose,fever,sorethroat,,tender lymph nodes,,,,,,,,,,,,
tooth decay,"treatment include flouride,fillings and crowns.severe caes may need a root canal or removal",tooth ache,,,,,,,,,,,,,,,,,,
tooth ache,medication and fillings may be required,pain in tooth,,,,,,,,,,,,,,,,,,
transient ischaemmic attack,"treatment includes medication ,surgery and healthy lifestyle changes",difficulty walking,muscle weekness,feeling faint,blurred vision,,difficulty swallowing,,,mental confusion,,,,,,,,,,
trigeminal neutralgia,"treatment includes medication ,injection and surgery","pain in mouth,face",burning sensation,,,,,,,,,,,,,,,,,
tuberculosis,treatment is not always required for those without symptoms.patients with active symptoms will require a long course of treatment involving multiple antibiotics,pain in  chest,pain occur while breathing,fever,loss of apetite,,,,,,,,,,,,,,,
type -1diabetes,"treatment involves insulin therapy,diet and exercise",excessive thirst,hunger,sweating,nausea,vomiting,head ache,,sleepiness,,fast heart rate,,,,,,,,,
type-2 diabetes,"treatment involves insulin therapy,diet and exercise",excessive thirst,weight gain or weight loss,frequent urination,blurred vision,,poor wound healing,,,,,,,,,,,,,
ulcerative colitis,treatment includes medication and surgery,abdomen pain,gastro intestinal bloating,anaemia,fatigue,blood in stool,,fever,cramping,,,,,,,,,,,
underactive thyroid,treatment includes thyroid hormone replacement,delayedpuberty,feeling cold,hair loss,brittleness,,slow heart rate,,weight gain,,,,,,,,,,,
urinary incontinence,some medication is required,"urine leaks when you exert pressure on your bladder by coughing,laughing,sneezing",,,involountary loss of urine,,,,,,,,,,,,,,,
urinary tract infection,common treatment is with antibiotics,bladder pain,fatigue,fever,pain occur during urination,,,vaginal irritation,,,,,,,,,,,,
urticaria,antihistamine medication is helpful,raised area of skin,swelling,itching,,,,,,,,,,,,,,,,
vaginal cancer,radiation therapy and surgery may be needed,unusual vaginal bleeding,lump In your vagina,painful and frequent urination,,constipation,,,,,,,,,,,,,,
vaginal thrush,antifungal treatment is required .complicated infections may require longer -term treatment,vaginal pain,vaginal discharge and itching,redness at vagina,pain occur during sexual inter course,,,,,,,,,,,,,,,
varicose eczema,treatment my include compression stockings and prexcription creams as well as treating under lying condition,leg pain,rashes on skin,darkening of skin,itching or swelling,,,,,,,,,,,,,,,
varicose veins,"treatment involves compression stockings ,exercise or procedure to close or remove the veins",swollen blood vessels,heavy legs,itching,,,,,,,,,,,,,,,,
venous leg ulcer,"treatment includes leg elevation ,compression and wound care.sometimes surgery may be needed",leg ulcer,swelling in extremitis,leaked fluid out of an organ,,,,,,,,,,,,,,,,
vertigo,a series of simple head movements used to treat BPPV and some antihistamines also helpful,feeling nauseated,vomiting,jerking eye movememts,head aches,,sweating,,hearing loss,,,,,,,,,,,
vitamin b12 deficiency,treatement includes dietary changes,anaemia,fatigue,memory loss,shortness of breath,,,,,,,,,,,,,,,
vomiting in adults,medication is required,head ache sometimes,nausea,,,,,,,,,,,,,,,,,
vulval cancer,treatment involves surgery to remove cancer and a  small amount of surrounding healthy tissue,pelvis pain,vulval itch,pain occur during sexual inter course,,,skin ulcer,,,,,,,,,,,,,
warts and verrucas,medication is needed,warts may appear in different sizes and shapes,,verrucas are painful,itchy scalp,,,,,,,,,,,,,,,
whooping cough,treatment include antibiotics,severe cough,runny nose,fatigue,vomiting,watery eyes,,,,,,,,,,,,,,
wilm's tumour,surgery  and radiation therapy is required,constipation,abdominal pain or cramping,nusea and vomiting,fever,loss of apetite,,blood in their urine,,,,,,,,,,,,
womb cancer,surgery to remove the uterus is the main treatment .in some cases chemotherapy is required,pelvis pain,abnormal mensturation,abnormla vaginal bleeding,,pain during sexual inter course,,,,,,,,,,,,,,
yellow fever,no specific treatment for the disease exists .efforts focus on managing symptoms and limiting complications,abdomen pain,chills,fatigue,fever,loss of apetite,,nausea,head ache,,yellow skin and eyes,,,head ache,,bleeding,,delirium,,
